ax,ay,az,gx,gy,gz,clase_id,nombre_clase,origen
5.305713,1.6927522,8.327288,0.27439028,-0.007389637,0.19122463,3,izquierda,single/left_single.csv
5.3679643,1.7023294,8.253065,0.28172067,-0.017163482,0.18267253,3,izquierda,single/left_single.csv
5.516409,1.7526091,8.083072,0.28172067,-0.03243511,0.18572685,3,izquierda,single/left_single.csv
5.3272614,1.8100717,7.798153,0.2878293,-0.0067787715,0.16312484,3,izquierda,single/left_single.csv
5.133325,1.7430321,8.12138,0.2475122,0.032927472,0.11669909,3,izquierda,single/left_single.csv
5.03516,1.6879637,8.126168,0.21269289,0.0133797815,0.10448178,3,izquierda,single/left_single.csv
5.1213536,1.7262721,7.90829,0.21941242,-0.017163482,0.11853168,3,izquierda,single/left_single.csv
5.1021996,1.8220432,7.778999,0.2249102,-0.008611367,0.13319245,3,izquierda,single/left_single.csv
5.078257,1.7957062,7.8891354,0.19986473,-0.028159056,0.13991198,3,izquierda,single/left_single.csv
5.1357193,1.8148603,7.903501,0.18520397,-0.08619125,0.14663148,3,izquierda,single/left_single.csv
5.1692395,1.8603516,8.269825,0.16382366,-0.073973946,0.16434658,3,izquierda,single/left_single.csv
5.166845,1.8914771,8.090255,0.1528281,-0.061756644,0.16801177,3,izquierda,single/left_single.csv
5.3081074,1.9321798,8.107015,0.20230818,-0.09657597,0.16862263,3,izquierda,single/left_single.csv
5.3009243,1.9369683,8.20518,0.21391463,-0.12162144,0.18267253,3,izquierda,single/left_single.csv
5.454158,2.0973847,8.274613,0.19436695,-0.08924558,0.18633772,3,izquierda,single/left_single.csv
5.4948606,2.1979442,8.032792,0.20169732,-0.07275222,0.1869486,3,izquierda,single/left_single.csv
5.420638,2.1716073,7.6904106,0.21819067,-0.05686972,0.17473128,3,izquierda,single/left_single.csv
5.4493694,2.1332989,7.6018224,0.23162971,-0.055037126,0.15945965,3,izquierda,single/left_single.csv
5.8252707,2.0973847,8.178843,0.22307761,-0.073973946,0.14602062,3,izquierda,single/left_single.csv
5.5451403,2.1404817,7.8125186,0.20658424,-0.069697894,0.11914255,3,izquierda,single/left_single.csv
5.4589467,2.1740015,7.666468,0.24567962,-0.07214135,0.099594854,3,izquierda,single/left_single.csv
5.5116205,2.221887,7.7119594,0.21391463,-0.060534913,0.11914255,3,izquierda,single/left_single.csv
5.566689,2.2170985,7.637737,0.20536251,-0.07030875,0.14357716,3,izquierda,single/left_single.csv
5.540352,2.1213274,8.016032,0.19192348,-0.14055826,0.15579447,3,izquierda,single/left_single.csv
5.7223167,2.205127,8.056735,0.19436695,-0.16804719,0.16679004,3,izquierda,single/left_single.csv
5.6504884,2.2865324,7.937021,0.21330376,-0.12284317,0.1832834,3,izquierda,single/left_single.csv
5.8587904,2.310475,7.9346266,0.22185586,-0.10390635,0.18450512,3,izquierda,single/left_single.csv
5.9617443,2.2937152,7.637737,0.23957098,-0.15644075,0.18206166,3,izquierda,single/left_single.csv
5.767808,2.317658,7.7119594,0.23834923,-0.17232326,0.16129225,3,izquierda,single/left_single.csv
5.648094,2.3583608,8.061523,0.19192348,-0.12773009,0.14846408,3,izquierda,single/left_single.csv
5.770202,2.430189,8.035186,0.17481925,-0.089856446,0.15701619,3,izquierda,single/left_single.csv
5.8587904,2.4541316,7.649708,0.21635808,-0.11856711,0.16984436,3,izquierda,single/left_single.csv
5.9617443,2.3966691,7.6616793,0.25606433,-0.16193853,0.17167696,3,izquierda,single/left_single.csv
6.0479383,2.4182177,7.85801,0.23162971,-0.16682547,0.16434658,3,izquierda,single/left_single.csv
6.0407553,2.4277947,7.678439,0.20841683,-0.13444962,0.14663148,3,izquierda,single/left_single.csv
6.0838523,2.3631492,7.721536,0.22429933,-0.13933653,0.11914255,3,izquierda,single/left_single.csv
5.791751,2.2530127,7.7071705,0.22246674,-0.15582989,0.094707936,3,izquierda,single/left_single.csv
5.61218,2.1596358,7.6712565,0.21208203,-0.10390635,0.067219004,3,izquierda,single/left_single.csv
5.669643,2.1883671,7.695199,0.21391463,-0.08069347,0.05988862,3,izquierda,single/left_single.csv
5.7797794,2.3128695,7.4964743,0.21513635,-0.08558039,0.08371236,3,izquierda,single/left_single.csv
5.705557,2.3751206,7.326481,0.23040798,-0.04648501,0.10570352,3,izquierda,single/left_single.csv
5.7007685,2.3487835,7.4222517,0.2090277,-0.04281982,0.10326005,3,izquierda,single/left_single.csv
