media,varianza,curtosis,simetria,entropia,energia,clase_id,nombre_clase
10.042527869973723,0.48158521579071695,1.391080023727775,0.5735807344689381,2.4837321790361493,5066.697561749483,3,izquierda
10.025953658796483,0.4806419922994632,1.4574115487158803,0.6520495878866429,2.4427501786743417,5050.0194380317025,3,izquierda
9.874079014324389,0.22617372768265162,2.5680622825770474,-0.24310915636989178,2.3995960715695155,4886.1805054401975,3,izquierda
9.860862557749924,0.08332802949772165,2.9998759948700844,-1.3366625333308886,2.5555487393409937,4865.996920616604,3,izquierda
9.922064976084496,0.03765176760377273,-0.6965565898712156,-0.45622055844985837,3.123590675802154,4924.251257862319,3,izquierda
9.88117508488694,0.04160582826346841,-1.1096476153490373,-0.07054538286093998,3.1680470463237422,4883.961344322696,3,izquierda
9.858224988922537,0.0386069624220663,-0.9776023378368,0.17116815262399085,3.1644308569767845,4861.1603447319385,3,izquierda
9.851773688416916,0.03498309910677902,-0.7789134844142906,0.34169490866518615,3.1489546774798987,4854.621395344531,3,izquierda
9.845765139037102,0.03503491324536744,-0.6687013863583289,0.48615294018986627,3.1288839259309054,4848.7063043161825,3,izquierda
9.789324131826575,0.02427997810992685,1.2691969621827317,1.1435079333415314,2.801303712293841,4792.757346803603,3,izquierda
9.825181761354365,0.02526137107975923,0.09718286215016336,0.6475086418711467,2.998004469943415,4827.972900736511,3,izquierda
9.847987475753081,0.024295047952939748,0.08972827258876803,0.5119533854429621,3.0118596180618513,4850.357618527127,3,izquierda
9.862780910802234,0.02243603736749563,-0.20950287631035414,0.6181462128147963,3.0774605460822446,4864.844166592623,3,izquierda
9.84474501581602,0.016826649435258946,-0.3551511833014893,0.1916230503712002,3.068117797896738,4846.7915537934805,3,izquierda
9.877384148232512,0.022802392056456205,1.2094899536078323,0.5785785451792134,2.681076764363101,4879.276000190568,3,izquierda
9.852182291782846,0.03430274803025882,0.7812407848487348,0.40578758065782705,2.858398771727886,4854.989932927489,3,izquierda
9.849107060845677,0.04751478614384447,0.003613339560200046,0.42666804239084133,3.083676149512801,4852.621234107201,3,izquierda
9.818556150894105,0.05868262416462691,-0.24053276465372075,0.30217945048471007,3.156300116263606,4823.136375621254,3,izquierda
9.802466155392079,0.07454954590189677,-0.7127541826668309,0.2452993359787579,3.1649747808219537,4808.144613675454,3,izquierda
9.751798998165047,0.07890980332966377,-0.7608346911393937,0.26105142156981137,3.096174485469454,4758.824675197123,3,izquierda
9.754928980426993,0.07850484630283439,-0.7461123642365379,0.2699615785270972,3.130826356079541,4761.857212973861,3,izquierda
9.766295360811906,0.08653259892408556,-0.3486162480633235,0.37581261468751037,2.8059327341064346,4773.352883677012,3,izquierda
9.811256009334263,0.0862233183549863,-0.5521643748471128,0.13711630817973072,2.876007174992567,4817.348389952635,3,izquierda
9.804695489639643,0.08807152559951811,0.13265229853961058,-0.1980496504547756,2.8641780728132544,4811.006258507972,3,izquierda
9.83612977389332,0.10126605343799806,0.07944404122290205,-0.19592652434464736,3.0041073068053112,4842.535749115432,3,izquierda
9.745267486739941,0.13146001172033656,0.2022533510636837,-0.26732902090669863,2.8859327196634847,4755.0849199915465,3,izquierda
9.724935175023784,0.11168556634329273,0.4434671839238393,-0.5064920039849947,2.85339517576966,4734.302486237909,3,izquierda
9.692629283256364,0.09740275868866322,1.054716795362082,-0.4759144110059671,2.6841073212962616,4702.223259066372,3,izquierda
9.72410298488382,0.08661163790279225,1.7393170712078216,-0.5779097906460424,2.586895244555753,4732.23952492646,3,izquierda
9.70466709031819,0.055940713268731034,3.720698208228658,-1.6347816637655754,2.598125558063681,4711.825202358685,3,izquierda
9.776946015137957,0.020527306169933434,-0.4309993378427417,-0.4465242653257982,3.0216081029969577,4780.460034454594,3,izquierda
9.780900152109066,0.02257469206890142,-0.01214878692861232,-0.2523304166964846,2.850582185403701,4784.429123879802,3,izquierda
9.792673688714222,0.026255992213988524,-0.22563902300413785,-0.05378268711713825,2.982824562210935,4796.135698292489,3,izquierda
9.769453468178158,0.024354470792128612,0.009167512590250837,0.32699206426742483,3.016232680749032,4773.328776884518,3,izquierda
9.776425099886096,0.02174709468268874,0.1325622610391055,0.5610597596188385,2.895158874823221,4780.011741418279,3,izquierda
9.765266363086175,0.027105510938577018,0.1324577090281469,0.16366956504632735,2.783661441850099,4769.376632648044,3,izquierda
9.761971464072756,0.023109282220767288,0.12386929821023918,0.07967054736045588,2.6251421347316906,4765.959807379579,3,izquierda
9.758561708103523,0.020855747102869446,-0.07977780520477262,-0.2812390665288515,2.854697123105229,4762.5191178983605,3,izquierda
9.767247532076448,0.020751785929864135,0.009915183533378613,-0.38370580353965994,2.917922312267187,4770.993806939167,3,izquierda
9.767149954849485,0.023893845379812814,-0.24495936398370466,-0.47300667149220493,3.0134806494403046,4771.055604294806,3,izquierda
9.7703989487857,0.019117125711381952,-0.5443770879458985,-0.05436316639181823,3.1448218571537843,4773.990637207204,3,izquierda
9.767198425777226,0.017877020680140184,-0.40149224054385035,-0.03835068446384493,3.119919607202036,4770.802105459263,3,izquierda
9.767080315576795,0.014777496351107764,-0.13626610164777153,-0.08488297051546186,3.0640671496898024,4770.53176936394,3,izquierda
9.78295105218335,0.014599469711867699,0.031394862978812554,-0.33377609146944204,3.0443726761641554,4786.036537956358,3,izquierda
9.773565067896797,0.01519608728606996,-0.4761731682647241,-0.009645646836250315,3.1093603998105497,4776.8885111849295,3,izquierda
9.792513953060919,0.01832204827121862,-0.2304355665781519,-0.09014065563052777,3.096776590151253,4795.5825784582,3,izquierda
9.782903161020352,0.028858057833845624,0.10024621848824111,-0.06794071554139698,2.8357834853484576,4786.70261578679,3,izquierda
9.776669076626655,0.03049479391292988,-0.1366111064460087,-0.007814952295028064,2.933739910165189,4780.68765138904,3,izquierda
